dia_semana,total_pedidos,valor_total_vendas,ticket_medio,total_itens_vendidos,percentual_pedidos,percentual_valor
Domingo,13055,74511817.17000002,5707.530997319036,96594,15.07,14.5
Segunda-feira,10102,67144868.10000004,6646.6905662245135,76793,11.66,13.06
Terça-feira,8802,56625385.40000021,6433.2407861849815,68975,10.16,11.02
Quarta-feira,9673,59886193.86000008,6191.067286260734,71970,11.16,11.65
Quinta-feira,12696,78955470.69000047,6218.924912570926,93601,14.65,15.36
Sexta-feira,19709,115957407.30000153,5883.474925161172,147279,22.74,22.56
Sábado,12620,60876279.26000009,4823.793919175918,93963,14.56,11.84
