faixa_etaria,total_clientes,total_pedidos,total_itens_vendidos,valor_total_vendas,ticket_medio,media_itens_por_pedido,percentual_valor,percentual_pedidos
18-25 (Jovens),157,620,4584,2919569.83,4708.983596774194,7.393548387096774,2.04,2.58
26-35 (Adultos jovens),2873,10897,85009,63768992.78000017,5851.976945948442,7.801137927870056,44.47,45.3
36-45 (Adultos),406,1634,12398,8840737.58000001,5410.4881150550855,7.587515299877601,6.17,6.79
56-65 (Pré-aposentadoria),145,644,4692,2992596.2300000014,4646.888555900623,7.285714285714286,2.09,2.68
66+ (Aposentados),2493,10121,78846,64505980.43000029,6373.478947732467,7.79033692322893,44.99,42.07
46-55 (<eia idade),21,140,802,355907.5100000001,2542.196500000001,5.728571428571429,0.25,0.58
